order,famAPG,famSyn
Polypodiales-eupolypod I,Elaphoglossaceae,Dryopteridaceae
Poales,Elegiaceae,Restionaceae
Malpighiales,Elatinaceae,Elatinaceae
Boraginales,Ellisiaceae,Hydrophyllaceae
Lamiales,Ellisiophyllaceae,Plantaginaceae
Alismatales,Elodeaceae,Hydrocharitaceae
Santalales,Elytranthaceae,Loranthaceae
Ericales,Embeliaceae,Primulaceae
Brassicales,Emblingiaceae,Emblingiaceae
Metteniusales,Emmotaceae,Metteniusaceae
Ericales,Empetraceae,Ericaceae
Cycadales,Encephalartaceae,Zamiaceae
Fagales,Engelhardtiaceae,Juglandaceae
Alismatales,Enhalaceae,Hydrocharitaceae
Ericales,Epacridaceae,Ericaceae
Gnetales,Ephedraceae,Ephedraceae
Commelinales,Ephemeranthaceae,Commelinaceae
Myrtales,Epilobiaceae,Onagraceae
Ranunculales,Epimediaceae,Berberidaceae
Equisetales,Equisetaceae,Equisetaceae
Poales,Eragrostidaceae,Poaceae
Santalales,Eremolepidaceae,Santalaceae
Escalloniales,Eremosynaceae,Escalloniaceae
Ericales,Ericaceae,Ericaceae
Lamiales,Erinaceae,Orobanchaceae
Poales,Eriocaulaceae,Eriocaulaceae
Caryophyllales,Eriogonaceae,Polygonaceae
Asparagales,Eriospermaceae,Asparagaceae
Geraniales,Erodiaceae,Geraniaceae
Solanales,Erycibaceae,Convolvulaceae
Apiales,Eryngiaceae,Apiaceae
Brassicales,Erysimaceae,Brassicaceae
Liliales,Erythroniaceae,Liliaceae
Santalales,Erythropalaceae,Erythropalaceae
Malpighiales,Erythrospermaceae,Achariaceae
Malpighiales,Erythroxylaceae,Erythroxylaceae
Escalloniales,Escalloniaceae,Escalloniaceae
Ranunculales,Eschscholziaceae,Papaveraceae
Asparagales,Eucomidaceae,Asparagaceae
Garryales,Eucommiaceae,Eucommiaceae
Oxalidales,Eucryphiaceae,Cunoniaceae
Myrtales,Eugeniaceae,Myrtaceae
Celastrales,Euonymaceae,Celastraceae
Asterales,Eupatoriaceae,Asteraceae
Malpighiales,Euphorbiaceae,Euphorbiaceae
Lamiales,Euphrasiaceae,Orobanchaceae
Malpighiales,Euphroniaceae,Euphroniaceae
Magnoliales,Eupomatiaceae,Eupomatiaceae
Ranunculales,Eupteleaceae,Eupteleaceae
Nymphaeales,Euryalaceae,Nymphaeaceae
Asparagales,Eustrephaceae,Asparagaceae
Malpighiales,Euthemidaceae,Ochnaceae
Boraginales,Eutocaceae,Hydrophyllaceae
Solanales,Evolvulaceae,Convolvulaceae
Saxifragales,Exbucklandiaceae,Hamamelidaceae
Santalales,Exocarpaceae,Santalaceae
Fabales,Fabaceae,Fabaceae
Fagales,Fagaceae,Fagaceae
Cupressales,Falcatifoliaceae,Podocarpaceae
Apiales,Ferulaceae,Apiaceae
Poales,Festucaceae,Poaceae
Rosales,Ficaceae,Moraceae
Caryophyllales,Ficoidaceae,Aizoaceae
Polypodiales-eupolypod I,Filicaceae,Dryopteridaceae
Cupressales,Fitzroyaceae,Cupressaceae
Malpighiales,Flacourtiaceae,Salicaceae
Poales,Flagellariaceae,Flagellariaceae
Sapindales,Flindersiaceae,Rutaceae
Ericales,Foetidiaceae,Lecythidaceae
Lamiales,Forestieraceae,Oleaceae
Saxifragales,Fothergillaceae,Hamamelidaceae
Ericales,Fouquieriaceae,Fouquieriaceae
Rosales,Fragariaceae,Rosaceae
Geraniales,Francoaceae,Francoaceae
Rosales,Frangulaceae,Rhamnaceae
Caryophyllales,Frankeniaceae,Frankeniaceae
Lamiales,Fraxinaceae,Oleaceae
Sapindales,Fraxinellaceae,Rutaceae
Pandanales,Freycinetiaceae,Pandanaceae
Liliales,Fritillariaceae,Liliaceae
Myrtales,Fuchsiaceae,Onagraceae
Ranunculales,Fumariaceae,Papaveraceae
Asparagales,Funkiaceae,Asparagaceae
Santalales,Gaiadendraceae,Loranthaceae
Ericales,Galacinaceae,Diapensiaceae
Asparagales,Galanthaceae,Amaryllidaceae
Asparagales,Galaxiaceae,Iridaceae
Fabales,Galedupaceae,Fabaceae
Caryophyllales,Galeniaceae,Aizoaceae
Gentianales,Galiaceae,Rubiaceae
Malpighiales,Garciniaceae,Clusiaceae
Gentianales,Gardeniaceae,Rubiaceae
Gentianales,Gardneriaceae,Loganiaceae
Garryales,Garryaceae,Garryaceae
Crossosomatales,Geissolomataceae,Geissolomataceae
Asparagales,Geitonoplesiaceae,Asphodelaceae
Gentianales,Gelsemiaceae,Gelsemiaceae
Gentianales,Geniostomataceae,Loganiaceae
Gentianales,Gentianaceae,Gentianaceae
Fabales,Geoffroeaceae,Fabaceae
Arecales,Geonomataceae,Arecaceae
Asparagales,Geosiridaceae,Iridaceae
Geraniales,Geraniaceae,Geraniaceae
Huerteales,Gerrardinaceae,Gerrardinaceae
Lamiales,Gesneriaceae,Gesneriaceae
Asparagales,Gethyllidaceae,Amaryllidaceae
Asparagales,Gilliesiaceae,Amaryllidaceae
Santalales,Ginalloaceae,Santalaceae
Ginkgoales,Ginkgoaceae,Ginkgoaceae
Caryophyllales,Gisekiaceae,Gisekiaceae
Asparagales,Gladiolaceae,Iridaceae
Ranunculales,Glaucidiaceae,Ranunculaceae
Lamiales,Glechomaceae,Lamiaceae
Gleicheniales,Gleicheniaceae,Gleicheniaceae
Caryophyllales,Glinaceae,Molluginaceae
Lamiales,Globulariaceae,Plantaginaceae
Poales,Glyceriaceae,Poaceae
Asterales,Gnaphaliaceae,Asteraceae
Gnetales,Gnetaceae,Gnetaceae
Malvales,Gnidiaceae,Thymelaeaceae
Solanales,Goetzeaceae,Solanaceae
Laurales,Gomortegaceae,Gomortegaceae
Malpighiales,Gomphiaceae,Ochnaceae
Caryophyllales,Gomphrenaceae,Amaranthaceae
Malvales,Gonystylaceae,Thymelaeaceae
Asterales,Goodeniaceae,Goodeniaceae
Ericales,Gordoniaceae,Theaceae
Rosales,Gouaniaceae,Rhamnaceae
Malpighiales,Goupiaceae,Goupiaceae
Poales,Gramineae,Gramineae
Polypodiales-eupolypod I,Grammitidaceae,Polypodiaceae
Lamiales,Gratiolaceae,Plantaginaceae
Malvales,Grewiaceae,Malvaceae
Geraniales,Greyiaceae,Francoaceae
Malvales,Grielaceae,Neuradaceae
Asterales,Grindeliaceae,Asteraceae
Apiales,Griseliniaceae,Griseliniaceae
Cornales,Gronoviaceae,Loasaceae
Saxifragales,Grossulariaceae,Grossulariaceae
Cornales,Grubbiaceae,Grubbiaceae
Ericales,Guaiacanaceae,Ebenaceae
Crossosomatales,Guamatelaceae,Guamatelaceae
Gentianales,Guettardaceae,Rubiaceae
Gunnerales,Gunneraceae,Gunneraceae
Ericales,Gustaviaceae,Lecythidaceae
Malpighiales,Guttiferae,Clusiaceae
Polypodiales-eupolypod I,Gymnogrammitidaceae,Polypodiaceae
Laurales,Gyrocarpaceae,Hernandiaceae
Brassicales,Gyrostemonaceae,Gyrostemonaceae
Santalales,Hachetteaceae,Balanophoraceae
Asparagales,Haemanthaceae,Amaryllidaceae
Commelinales,Haemodoraceae,Haemodoraceae
Ericales,Halesiaceae,Styracaceae
Lamiales,Halleriaceae,Stilbaceae
Cupressales,Halocarpaceae,Podocarpaceae
Alismatales,Halophilaceae,Hydrocharitaceae
Caryophyllales,Halophytaceae,Halophytaceae
Saxifragales,Haloragaceae,Haloragaceae
Saxifragales,Hamamelidaceae,Hamamelidaceae
Gentianales,Hameliaceae,Rubiaceae
Commelinales,Hanguanaceae,Hanguanaceae
Buxales,Haptanthaceae,Buxaceae
Santalales,Harmandiaceae,Aptandraceae
Lamiales,Hebenstretiaceae,Scrophulariaceae
Caryophyllales,Hectorellaceae,Montiaceae
Apiales,Hederaceae,Araliaceae
Chloranthales,Hedyosmaceae,Chloranthaceae
Gentianales,Hedyotidaceae,Rubiaceae
Fabales,Hedysaraceae,Fabaceae
Santalales,Heisteriaceae,Erythropalaceae
Asterales,Heleniaceae,Asteraceae
Ericales,Heliamphoraceae,Sarraceniaceae
Asterales,Helianthaceae,Asteraceae
Malvales,Helianthemaceae,Cistaceae
Asterales,Helichrysaceae,Asteraceae
Zingiberales,Heliconiaceae,Heliconiaceae
Malvales,Helicteraceae,Malvaceae
Boraginales,Heliotropiaceae,Heliotropiaceae
Ranunculales,Helleboraceae,Ranunculaceae
Ophioglossales,Helmithostachyaceae,Ophioglossaceae
Liliales,Heloniadaceae,Melanthiaceae
Santalales,Helosidaceae,Balanophoraceae
Aquifoliales,Helwingiaceae,Helwingiaceae
Asparagales,Hemerocallidaceae,Asphodelaceae
Polypodiales-eupolypod II,Hemidictyaceae,Hemidictyaceae
Polypodiales,Hemionotidaceae,Pteridaceae
Lamiales,Hemimeridaceae,Scrophulariaceae
Asparagales,Hemiphylacaceae,Asparagaceae
Gentianales,Henriqueziaceae,Rubiaceae
Myrtales,Henslowiaceae,Crypteroniaceae
Malvales,Hermanniaceae,Malvaceae
Laurales,Hernandiaceae,Hernandiaceae
Caryophyllales,Herniariaceae,Caryophyllaceae
Asparagales,Herreriaceae,Asparagaceae
Asparagales,Hesperocallidaceae,Asparagaceae
Commelinales,Heterantheraceae,Pontederiaceae
Myrtales,Heteropyxidaceae,Myrtaceae
Alismatales,Heterostylaceae,Juncaginaceae
Dilleniales,Hibbertiaceae,Dilleniaceae
Malvales,Hibiscaceae,Malvaceae
Caryophyllales,Hilleriaceae,Petiveriaceae
Magnoliales,Himantandraceae,Himantandraceae
Sapindales,Hippocastanaceae,Sapindaceae
Celastrales,Hippocrateaceae,Celastraceae
Malpighiales,Hippomanaceae,Euphorbiaceae
Rosales,Hippophaeaceae,Elaeagnaceae
Lamiales,Hippuridaceae,Plantaginaceae
Malpighiales,Hirtellaceae,Chrysobalanaceae
Sapindales,Holacanthaceae,Simaroubaceae
Poales,Holcaceae,Poaceae
Malpighiales,Homaliaceae,Salicaceae
Poales,Hopkinsiaceae,Restionaceae
Boraginales,Hoplestigmataceae,Cordiaceae
Poales,Hordeaceae,Poaceae
Magnoliales,Hornschuchiaceae,Annonaceae
Cornales,Hortensiaceae,Hydrangeaceae
Laurales,Hortoniaceae,Monimiaceae
Asparagales,Hostaceae,Asparagaceae
Ericales,Hottoniaceae,Primulaceae
Gentianales,Houstoniaceae,Rubiaceae
Oxalidales,Huaceae,Huaceae
Huerteales,Huerteaceae,Tapisciaceae
Malpighiales,Hugoniaceae,Linaceae
Solanales,Humbertiaceae,Convolvulaceae
Malpighiales,Humiriaceae,Humiriaceae
Rosales,Humulaceae,Cannabaceae
Asparagales,Hyacinthaceae,Asparagaceae
Nymphaeales,Hydatellaceae,Hydatellaceae
Piperales,Hydnoraceae,Aristolochiaceae
Cornales,Hydrangeaceae,Hydrangeaceae
Ranunculales,Hydrastidaceae,Ranunculaceae
Alismatales,Hydrillaceae,Hydrocharitaceae
Alismatales,Hydrocharitaceae,Hydrocharitaceae
Ericales,Hydroceraceae,Balsaminaceae
Apiales,Hydrocotylaceae,Araliaceae
Alismatales,Hydrogetonaceae,Potamogetonaceae
Solanales,Hydroleaceae,Hydroleaceae
Nymphaeales,Hydropeltidaceae,Cabombaceae
Gentianales,Hydrophylacaceae,Rubiaceae
Boraginales,Hydrophyllaceae,Hydrophyllaceae
Cornales,Hydrostachyaceae,Hydrostachyaceae
Malpighiales,Hymenocardiaceae,Phyllanthaceae
Hymenophyllales,Hymenophyllaceae,Hymenophyllaceae
Cyatheales,Hymenophyllopsidaceae,Cyatheaceae
Solanales,Hyoscyamaceae,Solanaceae
Ranunculales,Hypecoaceae,Papaveraceae
Brassicales,Hyperantheraceae,Moringaceae
Malpighiales,Hypericaceae,Hypericaceae
Polypodiales-eupolypod I,Hypodematiaceae,Hypodematiaceae
Polypodiales,Hypolepidaceae,Dennstaedtiaceae
Ericales,Hypopityaceae,Ericaceae
Asparagales,Hypoxidaceae,Hypoxidaceae
Geraniales,Hypseocharitaceae,Geraniaceae
Icacinales,Icacinaceae,Icacinaceae
Laurales,Idiospermaceae,Calycanthaceae
Caryophyllales,Illecebraceae,Caryophyllaceae
Aquifoliales,Ilicaceae,Aquifoliaceae
Austrobaileyales,Illiciaceae,Schisandraceae
Laurales,Illigeraceae,Hernandiaceae
Ericales,Impatientaceae,Balsaminaceae
Apiales,Imperatoriaceae,Apiaceae
Fabales,Inocarpaceae,Fabaceae
Asterales,Inulaceae,Asteraceae
Icacinales,Iodaceae,Icacinaceae
Malpighiales,Ionidiaceae,Violaceae
Arecales,Iriarteaceae,Arecaceae
Asparagales,Iridaceae,Iridaceae
Malpighiales,Irvingiaceae,Irvingiaceae
Brassicales,Isatidaceae,Brassicaceae
Myrtales,Isnardiaceae,Onagraceae
Lycopodiales,Isoetaceae,Isoetaceae
Asparagales,Isophysidaceae,Iridaceae
Saxifragales,Iteaceae,Iteaceae
Asterales,Ivaceae,Asteraceae
Crossosomatales,Ixerbaceae,Strasburgeriaceae
Asparagales,Ixiaceae,Iridaceae
Asparagales,Ixioliriaceae,Ixioliriaceae
Malpighiales,Ixonanthaceae,Ixonanthaceae
Caryophyllales,Jalapaceae,Nyctaginaceae
Sapindales,Jamboliferaceae,Rutaceae
Petrosaviales,Japonoliriaceae,Petrosaviaceae
Asterales,Jasionaceae,Campanulaceae
Lamiales,Jasminiaceae,Oleaceae
Asparagales,Johnsoniaceae,Asphodelaceae
Poales,Joinvilleaceae,Joinvilleaceae
Fagales,Juglandaceae,Juglandaceae
Sapindales,Julianiaceae,Anacardiaceae
Poales,Juncaceae,Juncaceae
Alismatales,Juncaginaceae,Juncaginaceae
Cupressales,Juniperaceae,Cupressaceae
Myrtales,Jussiaeaceae,Onagraceae
Lamiales,Justiciaceae,Acanthaceae
Austrobaileyales,Kadsuraceae,Schisandraceae
Solanales,Kaliphoraceae,Montiniaceae
Ericales,Kalmiaceae,Ericaceae
Myrtales,Kaniaceae,Myrtaceae
"fossil Sarbaicarpales, ??near ""Hamamelidales""",Kasicarpaceae,Kasicarpaceae
Caryophyllales,Kewaceae,Kewaceae
Malpighiales,Kiggelariaceae,Achariaceae
Ranunculales,Kingdoniaceae,Circaeasteraceae
Arecales,Kingiaceae,Dasypogonaceae
Cornales,Kirengeshomaceae,Hydrangeaceae
Sapindales,Kirkiaceae,Kirkiaceae
Poales,Kobresiaceae,Cyperaceae
Brassicales,Koeberliniaceae,Koeberliniaceae
Sapindales,Koelreuteriaceae,Sapindaceae
Zygophyllales,Krameriaceae,Krameriaceae
Lamiales,Labiatae,Labiatae
Pandanales,Lacandoniaceae,Triuridaceae
Asparagales,Lachenaliaceae,Asparagaceae
Malpighiales,Lacistemataceae,Lacistemataceae
Piperales,Lactoridaceae,Aristolochiaceae
Asterales,Lactucaceae,Asteraceae
Myrtales,Lagerstroemiaceae,Lythraceae
Apiales,Lagoeciaceae,Apiaceae
Poales,Laguraceae,Poaceae
Lamiales,Lamiaceae,Lamiaceae
Asparagales,Lanariaceae,Lanariaceae
Santalales,Langsdorffiaceae,Balanophoraceae
Lamiales,Lantanaceae,Verbenaceae
Liliales,Lapageriaceae,Philesiaceae
Ranunculales,Lardizabalaceae,Lardizabalaceae
Alismatales,Lasiaceae,Araceae
Malvales,Lasiopetalaceae,Malvaceae
Laurales,Lauraceae,Lauraceae
Myrtales,Lawsoniaceae,Lythraceae
Asparagales,Laxmanniaceae,Asparagaceae
Ericales,Lecythidaceae,Lecythidaceae
Ericales,Ledaceae,Ericaceae
Geraniales,Ledocarpaceae,Francoaceae
Vitales,Leeaceae,Vitaceae
Malpighiales,Legnotidaceae,Rhizophoraceae
Fabales,Leguminosae,Fabaceae
Sapindales,Leitneriaceae,Simaroubaceae
Alismatales,Lemnaceae,Araceae
Boraginales,Lennoaceae,Ehretiaceae
Lamiales,Lentibulariaceae,Lentibulariaceae
Sapindales,Lentiscaceae,Anacardiaceae
Malpighiales,Leoniaceae,Violaceae
Ranunculales,Leonticaceae,Berberidaceae
Celastrales,Lepidobotryaceae,Lepidobotryaceae
Proteales,Lepidocarpaceae,Proteaceae
Arecales,Lepidocaryaceae,Arecaceae
Santalales,Lepidocerataceae,Santalaceae
Cupressales,Lepidothamnaceae,Podocarpaceae
Aquifoliales,Leptaulaceae,Cardiopteridaceae
Myrtales,Leptospermaceae,Myrtaceae
Poales,Lepturaceae,Poaceae
Celastrales,Lepuropetalaceae,Celastraceae
Asparagales,Leucojaceae,Amaryllidaceae
Caryophyllales,Leuctenbergiaceae,Cactaceae
Cupressales,Libocedraceae,Cupressaceae
Malpighiales,Licaniaceae,Chrysobalanaceae
Lamiales,Ligustraceae,Oleaceae
Alismatales,Lilaeaceae,Juncaginaceae
Liliales,Liliaceae,Liliaceae
Caryophyllales,Limeaceae,Limeaceae
Brassicales,Limnanthaceae,Limnanthaceae
Alismatales,Limnocharitaceae,Alismataceae
Cupressales,Limnnopityaceae,Cupressaceae
Asparagales,Limodoraceae,Orchidaceae
Caryophyllales,Limoniaceae,Plumbaginaceae
Lamiales,Limosellaceae,Scrophulariaceae
Malpighiales,Linaceae,Linaceae
Lamiales,Linariaceae,Plantaginaceae
Lamiales,Lindenbergiaceae,Orobanchaceae
Lamiales,Linderniaceae,Linderniaceae
Rosales,Lindleyaceae,Rosaceae
Polypodiales,Lindsaeaceae,Lindsaeaceae
Dipsacales,Linnaeaceae,Caprifoliaceae
Asparagales,Liparidaceae,Orchidaceae
Gentianales,Lippayaceae,Rubiaceae
Liliales,Liriaceae,Liliaceae
Magnoliales,Liriodendraceae,Magnoliaceae
Ericales,Lissocarpaceae,Ebenaceae
Lamiales,Littorellaceae,Plantaginaceae
Cornales,Loasaceae,Loasaceae
Asterales,Lobeliaceae,Campanulaceae
Gentianales,Loganiaceae,Loganiaceae
Poales,Loliaceae,Poaceae
Asparagales,Lomandraceae,Asparagaceae
Polypodiales-eupolypod I,Lomariopsidaceae,Lomariopsidaceae
Polypodiales,Lonchitidaceae,Lonchitidaceae
Dipsacales,Loniceraceae,Caprifoliaceae
Myrtales,Lopeziaceae,Onagraceae
Caryophyllales,Lophiocarpaceae,Lophiocarpaceae
Dioscoreales,Lophiolaceae,Nartheciaceae
Malpighiales,Lophiraceae,Ochnaceae
Santalales,Lophophytaceae,Balanophoraceae
Malpighiales,Lophopyxidaceae,Lophopyxidaceae
Cyatheales,Lophosoriaceae,Dicksoniaceae
Santalales,Loranthaceae,Loranthaceae
Fabales,Lotaceae,Fabaceae
Zingiberales,Lowiaceae,Lowiaceae
Polypodiales-eupolypod I,Loxogrammaceae,Polypodiaceae
Cyatheales,Loxsomataceae,Loxsomataceae
Rosales,Lupulaceae,Cannabaceae
Malpighiales,Luxemburgiaceae,Ochnaceae
Liliales,Luzuriagaceae,Alstroemeriaceae
Caryophyllales,Lychnidaceae,Caryophyllaceae
Solanales,Lyciaceae,Solanaceae
Lycopodiales,Lycopodiaceae,Lycopodiaceae
Poales,Lyginiaceae,Restionaceae
Schizaeales,Lygodiaceae,Lygodiaceae
Gentianales,Lygodisodeaceae,Rubiaceae
Ericales,Lysimachiaceae,Primulaceae
Myrtales,Lythraceae,Lythraceae
Malpighiales,Macarisiaceae,Rhizophoraceae
Caryophyllales,Macarthuriaceae,Macarthuriaceae
Apiales,Mackinlayaceae,Apiaceae
Asterales,Madiaceae,Asteraceae
Ericales,Maesaceae,Primulaceae
Magnoliales,Magnoliaceae,Magnoliaceae
Rosales,Malaceae,Rosaceae
Malpighiales,Malesherbiaceae,Passifloraceae
Arecales,Malortieaceae,Arecaceae
Malpighiales,Malpighiaceae,Malpighiaceae
Malvales,Malvaceae,Malvaceae
Malpighiales,Mangiaceae,Rhizophoraceae
Arecales,Manicariaceae,Arecaceae
Malvales,Mansoniaceae,Malvaceae
Poales,Mapaniaceae,Cyperaceae
Zingiberales,Marantaceae,Marantaceae
Malpighiales,Marathraceae,Podostemaceae
Ericales,Marcgraviaceae,Marcgraviaceae
Marsileales,Marsileaceae,Marsileaceae
Marattiales,Marattiaceae,Marattiaceae
Lamiales,Martyniaceae,Martyniaceae
Cornales,Mastixiaceae,Nyssaceae
Gleicheniales,Matoniaceae,Matoniaceae
Asterales,Matricariaceae,Asteraceae
Alismatales,Maundiaceae,Maundiaceae
Poales,Mayacaceae,Mayacaceae
Lamiales,Mazaceae,Mazaceae
Liliales,Medeolaceae,Liliaceae
Malpighiales,Medusagynaceae,Ochnaceae
Saxifragales,Medusandraceae,Peridiscaceae
Myrtales,Melaleucaceae,Myrtaceae
Lamiales,Melampyraceae,Orobanchaceae
Apiales,Melanophyllaceae,Torricelliaceae
Liliales,Melanthiaceae,Melanthiaceae
Myrtales,Melastomataceae,Melastomataceae
Sapindales,Meliaceae,Meliaceae
Geraniales,Melianthaceae,Greyiaceae
Poales,Melicaceae,Poaceae
Proteales,Meliosmaceae,Sabiaceae
Lamiales,Melittidaceae,Lamiaceae
Malvales,Melochiaceae,Malvaceae
Myrtales,Memecylaceae,Melastomataceae
Lamiales,Mendonciaceae,Acanthaceae
Ranunculales,Menispermaceae,Menispermaceae
Lamiales,Menthaceae,Lamiaceae
Asterales,Menyanthaceae,Menyanthaceae
Ericales,Menzieziaceae,Ericaceae
Malpighiales,Mercurialaceae,Euphorbiaceae
Liliales,Merenderaceae,Colchicaceae
Caryophyllales,Mesembryaceae,Aizoaceae
Caryophyllales,Mesembryanthemaceae,Aizoaceae
Rosales,Mespilaceae,Rosaceae
Cupressales,Metasequioaceae,Cupressaceae
Cyatheales,Metaxyaceae,Metaxyaceae
Metteniusales,Metteniusaceae,Metteniusaceae
Lamiales,Meyeniaceae,Acanthaceae
Myrtales,Miconiaceae,Melastomataceae
Malpighiales,Micrantheaceae,Picrodendraceae
Cupressales,Microbiotaceae,Cupressaceae
Cupressales,Microcachrydaceae,Podocarpaceae
Cycadales,Microcycadaceae,Zamiaceae
Cupressales,Microstrobaceae,Podocarpaceae
Caryophyllales,Microteaceae,Microteaceae
Poales,Miliaceae,Poaceae
Asparagales,Milulaceae,Amaryllidaceae
Fabales,Mimosaceae,Fabaceae
Caryophyllales,Minuartiaceae,Caryophyllaceae
Caryophyllales,Mirabilidaceae,Nyctaginaceae
Santalales,Misodendraceae,Misodendraceae
Ericales,Mitrastemonaceae,Mitrastemonaceae
Petrosaviales,Miyoshiaceae,Petrosaviaceae
Malpighiales,Modeccaceae,Passifloraceae
Caryophyllales,Molluginaceae,Molluginaceae
Lamiales,Monardaceae,Lamiaceae
Laurales,Monimiaceae,Monimiaceae
Magnoliales,Monodoraceae,Annonaceae
Malvales,Monotaceae,Dipterocarpaceae
Ericales,Monotropaceae,Ericaceae
Alismatales,Monsteraceae,Araceae
Caryophyllales,Montiaceae,Montiaceae
Solanales,Montiniaceae,Montiniaceae
Ceratophyllales,Montsechiaceae (extinct),Montsechiaceae (extinct)
Rosales,Moraceae,Moraceae
Arecales,Moreniaceae,Arecaceae
Dipsacales,Morinaceae,Caprifoliaceae
Brassicales,Moringaceae,Moringaceae
Myrtales,Mouririaceae,Melastomataceae
Fabales,Moutabeaceae,Polygalaceae
Malvales,Muntingiaceae,Muntingiaceae
Zingiberales,Musaceae,Musaceae
Asterales,Mutisiaceae,Asteraceae
Apiales,Myodocarpaceae,Myodocarpaceae
Lamiales,Myoporaceae,Scrophulariaceae
Fagales,Myricaceae,Myricaceae
Saxifragales,Myriophyllaceae,Haloragaceae
Magnoliales,Myristicaceae,Myristicaceae
Myrtales,Myrobalanaceae,Combretaceae
Gunnerales,Myrothamnaceae,Myrothamnaceae
Myrtales,Myrrhiniaceae,Myrtaceae
Ericales,Myrsinaceae,Primulaceae
Myrtales,Myrtaceae,Myrtaceae
Santalales,Mystropetalaceae,Balanophoraceae
Cupressales,Nageiaceae,Podocarpaceae
Alismatales,Najadaceae,Hydrocharitaceae
Boraginales,Namaceae,Namaceae
Ranunculales,Nandinaceae,Berberidaceae
Santalales,Nanodeaceae,Santalaceae
Ericales,Napoleonaeaceae,Lecythidaceae
Dioscoreales,Nartheciaceae,Nartheciaceae
Asparagales,Narcissaceae,Amaryllidaceae
Poales,Nardaceae,Poaceae
Asterales,Nassauviaceae,Asteraceae
Gentianales,Naucleaceae,Rubiaceae
Malpighiales,Nectaropetalaceae,Erythroxylaceae
Polypodiales,Negripteridaceae,Pteridaceae
Rosales,Neilliaceae,Rosaceae
Lamiales,Nelsoniaceae,Acanthaceae
Proteales,Nelumbonaceae,Nelumbonaceae
Asterales,Nemacladaceae,Campanulaceae
Cupressales,Neocallitropsidaceae,Cupressaceae
Asparagales,Neottiaceae,Orchidaceae
Caryophyllales,Nepenthaceae,Nepenthaceae
Lamiales,Nepetaceae,Lamiaceae
Polypodiales-eupolypod I,Nephrolepidaceae,Nephrolepidaceae
Lamiales,Nesogenaceae,Orobanchaceae
Malvales,Neuradaceae,Neuradaceae
Asparagales,Neuwiediaceae,Orchidaceae
Cucurbitales,Nhandirobaceae,Cucurbitaceae
Solanales,Nicotianaceae,Solanaceae
Ranunculales,Nigellaceae,Ranunculaceae
Sapindales,Nitrariaceae,Nitrariaceae
Solanales,Nolanaceae,Solanaceae
Asparagales,Nolinaceae,Asparagaceae
Gentianales,Nonateliaceae,Rubiaceae
Caryophyllales,Nopaleaceae,Cactaceae
Ericales,Noranteaceae,Marcgraviaceae
Fagales,Nothofagaceae,Nothofagaceae
Nymphaeales,Nupharaceae,Nymphaeaceae
Santalales,Nuytsiaceae,Loranthaceae
Caryophyllales,Nyctaginaceae,Nyctaginaceae
Lamiales,Nyctanthaceae,Oleaceae
Nymphaeales,Nymphaeaceae,Nymphaeaceae
Arecales,Nypaceae,Arecaceae
Cornales,Nyssaceae,Nyssaceae
Gentianales,Obolariaceae,Gentianaceae
Malpighiales,Ochnaceae,Ochnaceae
Crossosomatales,Ochranthaceae,Staphyleaceae
Santalales,Octoknemaceae,Octoknemaceae
Myrtales,Oenotheraceae,Onagraceae
Lamiales,Oftiaceae,Scrophulariaceae
Santalales,Olacaceae,Olacaceae
Lamiales,Oleaceae,Oleaceae
Polypodiales-eupolypod I,Oleandraceae,Oleandraceae
Myrtales,Oliniaceae,Penaeaceae
Poales,Olyraceae,Poaceae
Myrtales,Onagraceae,Onagraceae
Icacinales,Oncothecaceae,Oncothecaceae
eupolypod II,Onocleaceae,Onocleaceae
Boraginales,Onosmaceae,Boraginaceae
Gentianales,Operculariaceae,Rubiaceae
